Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Duration_format,Genre_format,Producers_format,Studios_format
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Bandai Visual,Sunrise,Original,24 min. per ep.,24,Comedy,Bandai Visual,Sunrise
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,115,Action,Bandai Visual,Bones
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Victor Entertainment,Madhouse,Manga,24 min. per ep.,24,Comedy,Victor Entertainment,Madhouse
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,25,Action,TV Tokyo,Sunrise
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,"TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,23,Fantasy,TV Tokyo,Toei Animation
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Gallop
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,"Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,23,Comedy,Fuji TV,J.C.Staff
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,"OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,27,Action,Studio Jack,A.C.G.T.
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,24,Drama,VAP,Madhouse
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,23,Comedy,Aniplex,Studio Pierrot
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,22,Comedy,Nihon Ad Systems,Trans Arts
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Studio Comet
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,"GDH, Pony Canyon, CBC",Gonzo,Manga,24 min. per ep.,24,Comedy,Pony Canyon,Gonzo
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,23 min. per ep.,23,Action,Fuji TV,Madhouse
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,24 min. per ep.,24,Comedy,Aniplex,Sunrise
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,"Marvelous, TBS",Studio Deen,Manga,24 min. per ep.,24,Action,TBS,Studio Deen
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24 min. per ep.,24,Action,TV Tokyo,Tatsunoko Production
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 44 min.,104,Drama,Movic,Production I.G
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 27 min.,87,Drama,TV Tokyo,Production I.G
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,"VAP, Hakusensha, Nippon Television Network",OLM,Manga,25 min. per ep.,25,Action,VAP,OLM
